%eval_id interface diff gb_saturation gb_sweeping crack ath EXP_39 EXP_29 EXP_42 EXP_41 EXP_3 EXP_40 EXP_38 EXP_26 EXP_1 EXP_43 EXP_7 EXP_9 EXP_8 EXP_4 EXP_19 EXP_10 EXP_17 EXP_25 EXP_45 EXP_6 EXP_2 EXP_16 EXP_13 EXP_14 EXP_11 EXP_15 EXP_12 EXP_5 EXP_18 EXP_44 EXP_28
48 NO_ID 30.71701475 5.273904603 0.2661816242 0.9985566829 2.09759531 0.3062713 0.07423283 0.3410021 0.3493026 0.08828995 0.270787 0.3314798 0.1844008 0.1662433 0.1079297 0.3129186 0.2453037 0.339274 0.0856231 0.1527523 0.2030598 0.354592 0.1438209 0.03159278 0.1129271 0.2127243 0.2659295 0.2675768 0.3258867 0.4404401 0.3090263 0.2259189 0.1864025 0.3990293 0.151304 0.05485539
49 NO_ID 16.15106771 3.966522337 0.3703841915 0.2819941516 4.477823299 0.1721984 0.04067075 0.2402651 0.2579516 0.0353536 0.1557363 0.1977281 0.1199037 0.04801225 0.05889065 0.1814371 0.1557442 0.1823294 0.02253485 0.1181791 0.06830319 0.2874287 0.09255493 0.01685904 0.03941004 0.06155944 0.1918985 0.1888484 0.2688376 0.3139996 0.2279046 0.1932928 0.06167534 0.3340149 0.1202231 0.02942012
50 NO_ID 24.83791434 8.64595157 0.2205190677 0.6566171526 6.974154544 0.2610464 0.07090892 0.3207901 0.3334105 0.0733974 0.2497765 0.2858718 0.1714733 0.1042639 0.09135628 0.272211 0.2279127 0.3026986 0.04960835 0.1532856 0.1565876 0.3515954 0.1380513 0.03256985 0.09437558 0.1524354 0.2619757 0.2620324 0.3222348 0.4144822 0.3023251 0.2236477 0.1446963 0.3952996 0.1474559 0.05629175
51 NO_ID 13.13394526 1.156558522 0.1545874923 0.08540838361 2.886618363 0.2099941 0.03920937 0.256402 0.2697553 0.04053104 0.1818632 0.235834 0.1237291 0.06942931 0.06268103 0.2070647 0.1744104 0.2259715 0.035292 0.07370473 0.1026042 0.2684862 0.09214561 0.01075375 0.07640938 0.1014967 0.1717124 0.1704888 0.2393475 0.3317712 0.2145422 0.1533117 0.06790648 0.3182616 0.1054436 0.02521241
52 NO_ID 12.07699034 0.6625802838 0.9045789998 0.4595880105 7.441206174 0.2819622 0.06409044 0.3143834 0.3252948 0.09653403 0.2453162 0.3051561 0.1529997 0.1597661 0.08066752 0.28233 0.2603833 0.3077649 0.1073771 0.147828 0.1970412 0.3489971 0.118967 0.02401804 0.1668917 0.1863807 0.2546275 0.2514053 0.3150373 0.4018524 0.294875 0.219626 0.1719737 0.3952512 0.1243382 0.04703855
53 NO_ID 2.739378918 2.873335351 0.8399999017 0.01633566697 1.273731061 0.10275 0.009769675 0.1557573 0.166855 0.002252924 0.08682049 0.1252304 0.04526313 0.003853132 0.0136663 0.04889197 0.02933602 0.07288338 0.001410377 0.03227541 0.007202064 0.1849962 0.03033716 0.002092581 0.004058374 0.008831574 0.09431487 0.07759343 0.1403157 0.178865 0.1267568 0.05515521 0.003977827 0.2337132 0.03261743 0.004797478
54 NO_ID 34.00489134 5.633515039 0.5491578111 0.4379013065 1.530161435 0.2266624 0.05407215 0.2978465 0.3169896 0.05216268 0.223489 0.2517403 0.1535784 0.07190362 0.0802491 0.2307993 0.214418 0.2483823 0.03316071 0.1575426 0.1120741 0.3459239 0.1200989 0.02454359 0.05894342 0.0921929 0.2491778 0.2509676 0.3231547 0.4040139 0.2925926 0.2294022 0.0978024 0.3899007 0.1504984 0.03939199
55 NO_ID 7.82964873 4.351471036 0.3376174983 0.6670936282 6.115864611 0.2377094 0.05075163 0.2818317 0.2922994 0.05788156 0.2062089 0.2612602 0.1243459 0.0785486 0.06221486 0.2167434 0.1740032 0.24831 0.03780382 0.111814 0.110471 0.3009576 0.09666466 0.02012882 0.06819741 0.1095636 0.2069436 0.2018206 0.2685443 0.3699327 0.2532248 0.1668246 0.1030388 0.3492146 0.1036779 0.03775156
56 NO_ID 28.92793491 3.212615333 0.5934167035 0.3222541047 1.695266934 0.1980902 0.04952024 0.2724418 0.2884549 0.03974964 0.187855 0.2232358 0.1486919 0.05907997 0.07755939 0.2133746 0.1952379 0.2205846 0.02570214 0.1439902 0.09298661 0.3215529 0.114696 0.01966389 0.05007336 0.07781719 0.2235931 0.22205 0.292289 0.3489854 0.2544035 0.2196652 0.07441094 0.3668457 0.1424231 0.03397669
57 NO_ID 38.16007141 1.866428145 0.2510828177 0.8535944136 6.779519933 0.3029555 0.08612888 0.3539298 0.3638234 0.09067841 0.2853281 0.3258802 0.2053089 0.1619547 0.1212225 0.3333009 0.29634 0.3483519 0.06954514 0.1744088 0.2346465 0.3817563 0.1642233 0.04115947 0.1462274 0.2011743 0.2921364 0.2927151 0.3478504 0.4594125 0.3298559 0.2519039 0.1963064 0.4253785 0.1697264 0.06633975
58 NO_ID 14.76992329 2.533339813 0.5421801071 0.3710043302 4.057968018 0.2098352 0.0485638 0.2715968 0.2856345 0.04455476 0.2251248 0.2342934 0.1346429 0.06339185 0.06718729 0.2150798 0.1909099 0.2303539 0.02810815 0.1270392 0.09723531 0.3152712 0.1032465 0.0179275 0.05484175 0.09336495 0.2152045 0.2159641 0.2860566 0.3651614 0.2493518 0.19466 0.08371849 0.36216 0.1223527 0.03396751
59 NO_ID 7.555565875 6.177469099 0.3798112848 0.06971527812 4.233989423 0.07852108 0.01474211 0.1258547 0.1478965 0.01029556 0.06284324 0.101075 0.0507804 0.01525181 0.02068065 0.06424814 0.04375675 0.06607479 0.006520584 0.0463616 0.02110305 0.1555013 0.03951567 0.00795487 0.01178531 0.01776039 0.0860268 0.08133543 0.1422985 0.156744 0.1100786 0.1055802 0.01431729 0.1982353 0.05663982 0.01229413
